,0
180,24.37735
181,48.098763
182,29.059788
183,44.851173
184,33.45361
185,86.81711
186,63.761105
187,41.508957
188,16.124828
189,66.7634
190,60.57369
191,72.85259
192,158.31891
193,85.6978
194,121.124054
195,4.962289
196,51.58075
197,11.345454
198,0.0
199,46.295696
200,52.341087
201,49.683117
202,103.97971
203,65.59853
204,70.47815
205,95.25053
206,225.21332
207,217.60547
208,167.34647
209,18.174925
210,121.76083
211,198.74727
212,130.53384
213,102.433075
214,80.93158
215,229.10892
216,484.8373
217,772.95746
218,301.9266
219,270.74316
220,189.46118
221,182.11974
222,97.42172
223,35.467106
224,35.235947
225,149.2109
226,240.48058
227,286.16223
228,95.25818
229,64.34968
230,6.285124
231,143.65877
232,56.881508
233,117.37221
234,95.41258
235,125.778076
236,194.03815
237,151.31528
238,117.86944
239,48.863434
240,38.074604
241,73.07939
242,13.182762
243,0.0
244,67.32172
245,78.11136
246,30.796383
247,7.424355
248,70.33985
249,0.0
250,68.34052
251,0.0
252,56.736286
253,0.0
254,0.0
255,2.3994608
256,0.0
257,22.383425
258,59.32369
259,5.954053
260,36.04025
261,0.0
262,31.514631
263,67.04531
264,59.953117
265,18.17924
266,7.1658278
267,3.9049563
268,16.068403
269,7.1228952
270,17.567022
271,14.541412
272,32.385654
273,30.789742
274,24.266241
275,0.0
276,24.984232
277,34.183414
278,11.100981
279,3.1844482
280,11.946604
281,19.645813
282,34.04404
283,40.048725
284,51.898415
285,27.973053
286,25.960407
287,39.552208
288,75.67711
289,174.73438
290,171.63538
291,144.8316
292,131.1812
293,127.21309
294,109.17708
295,72.47802
296,106.79271
297,192.74057
298,146.19655
299,34.684666
300,17.670685
301,36.310425
302,56.500473
303,332.66724
304,313.61685
305,113.60542
306,579.9746
307,637.06885
308,582.8065
309,62.746998
310,129.31378
311,91.139656
312,64.78957
313,194.79608
314,276.39883
315,302.5368
316,133.60535
317,0.0
318,51.929462
319,0.0
320,68.35199
321,107.466446
322,44.81324
323,89.41511
324,71.64197
325,411.84625
326,45.315826
327,85.34778
